ASM1375273v1	GCA_013752735.1	GCF_013752735.1
ASM28437v1	GCA_000284375.1	GCF_000284375.1
ASM188769v1	GCA_001887695.1	GCF_001887695.1
ASM3521323v1	GCA_035213235.1	GCF_035213235.1
ASM3522880v1	GCA_035228805.1	GCF_035228805.1
ASM3522958v1	GCA_035229585.1	GCF_035229585.1
ASM3058486v1	GCA_030584865.1	GCF_030584865.1
ASM3058490v1	GCA_030584905.1	GCF_030584905.1
ASM2327814v1	GCA_023278145.1	GCF_023278145.1
ASM3058474v1	GCA_030584745.1	GCF_030584745.1
ASM3058478v1	GCA_030584785.1	GCF_030584785.1
ASM3521051v1	GCA_035210515.1	GCF_035210515.1
ASM3521193v1	GCA_035211935.1	GCF_035211935.1
ASM3522770v1	GCA_035227705.1	GCF_035227705.1
ASM80731v1	GCA_000807315.1	GCF_000807315.1
ASM2327798v1	GCA_023277985.1	GCF_023277985.1
ASM3523758v1	GCA_035237585.1	GCF_035237585.1
ASM66193v1	GCA_000661935.1	GCF_000661935.1
ASM653964v1	GCA_006539645.1	GCF_006539645.1
ASM47298v1	GCA_000472985.1	GCF_000472985.1
