ASM584v2	GCA_000005845.2	GCF_000005845.2
ASM2009747v1	GCA_020097475.1	GCF_020097475.1
ASM2862233v1	GCA_028622335.1	GCF_028622335.1
ASM2996246v1	GCA_029962465.1	GCF_029962465.1
ASM3132397v1	GCA_031323975.1	GCF_031323975.1
ASM2028370v1	GCA_020283705.1	GCF_020283705.1
ASM285371v1	GCA_002853715.1	GCF_002853715.1
ASM1326v1	GCA_000013265.1	GCF_000013265.1
ASM369716v2	GCA_003697165.2	GCF_003697165.2
ASM1038v1	GCA_000010385.1	GCF_000010385.1
ASM1964v1	GCA_000019645.1	GCF_000019645.1
ASM2622v1	GCA_000026225.1	GCF_000026225.1
ASM290036v1	GCA_002900365.1	GCF_002900365.1
ASM301845v1	GCA_003018455.1	GCF_003018455.1
ASM2430068v1	GCA_024300685.1	GCF_024300685.1
ASM2792582v1	GCA_027925825.1	GCF_027925825.1
ASM301803v1	GCA_003018035.1	GCF_003018035.1
ASM2792574v1	GCA_027925745.1	GCF_027925745.1
ASM2792580v1	GCA_027925805.1	GCF_027925805.1
ASM2792576v1	GCA_027925765.1	GCF_027925765.1
ASM2792578v1	GCA_027925785.1	GCF_027925785.1
ASM2792556v1	GCA_027925565.1	GCF_027925565.1
ASM2792584v1	GCA_027925845.1	GCF_027925845.1
ASM3238231v1	GCA_032382315.1	GCF_032382315.1
ASM1405844v2	GCA_014058445.2	GCF_014058445.2
ASM172112v1	GCA_001721125.1	GCF_001721125.1
ASM2792550v1	GCA_027925505.1	GCF_027925505.1
ASM435840v1	GCA_004358405.1	GCF_004358405.1
ASM301857v1	GCA_003018575.1	GCF_003018575.1
ASM396646v1	GCA_003966465.1	GCF_003966465.1
ASM301813v1	GCA_003018135.1	GCF_003018135.1
ASM2792568v1	GCA_027925685.1	GCF_027925685.1
ASM301879v1	GCA_003018795.1	GCF_003018795.1
ASM301855v1	GCA_003018555.1	GCF_003018555.1
ASM301889v1	GCA_003018895.1	GCF_003018895.1
ASM3038992v1	GCA_030389925.1	GCF_030389925.1
ASM2599567v1	GCA_025995675.1	GCF_025995675.1
ASM301805v1	GCA_003018055.1	GCF_003018055.1
ASM1335736v1	GCA_013357365.1	GCF_013357365.1
ASM1199608v1	GCA_011996085.1	GCF_011996085.1
ASM522188v1	GCA_005221885.1	GCF_005221885.1
ASM3397104v1	GCA_033971045.1	GCF_033971045.1
ASM3753956v1	GCA_037539565.1	GCF_037539565.1
ASM301791v1	GCA_003017915.1	GCF_003017915.1
ASM435836v1	GCA_004358365.1	GCF_004358365.1
ASM301831v1	GCA_003018315.1	GCF_003018315.1
ASM3001359v1	GCA_030013595.1	GCF_030013595.1
ASM893113v1	GCA_008931135.1	GCF_008931135.1
ASM965003v1	GCA_009650035.1	GCF_009650035.1
ASM687478v1	GCA_006874785.1	GCF_006874785.1
ASM161247v1	GCA_001612475.1	GCF_001612475.1
ASM2422341v1	GCA_024223415.1	GCF_024223415.1
ASM522150v1	GCA_005221505.1	GCF_005221505.1
ASM892618v1	GCA_008926185.1	GCF_008926185.1
ASM966445v1	GCA_009664455.1	GCF_009664455.1
ASM892612v1	GCA_008926125.1	GCF_008926125.1
ASM3397074v1	GCA_033970745.1	GCF_033970745.1
ASM401067v1	GCA_004010675.1	GCF_004010675.1
ASM943195v1	GCA_009431955.1	GCF_009431955.1
ASM379052v1	GCA_003790525.1	GCF_003790525.1
ASM2792562v1	GCA_027925625.1	GCF_027925625.1
GENOMIC21-004	GCA_963575795.1	GCF_963575795.1
ASM2599631v1	GCA_025996315.1	GCF_025996315.1
ASM401071v1	GCA_004010715.1	GCF_004010715.1
ASM3397084v1	GCA_033970845.1	GCF_033970845.1
ASM892616v1	GCA_008926165.1	GCF_008926165.1
ASM189028v2	GCA_001890285.2	GCF_001890285.2
ASM2599573v1	GCA_025995735.1	GCF_025995735.1
ASM189024v1	GCA_001890245.1	GCF_001890245.1
ASM189020v1	GCA_001890205.1	GCF_001890205.1
ASM973845v1	GCA_009738455.1	GCF_009738455.1
ASM301917v1	GCA_003019175.1	GCF_003019175.1
ASM522228v1	GCA_005222285.1	GCF_005222285.1
ASM522240v1	GCA_005222405.1	GCF_005222405.1
ASM161249v1	GCA_001612495.1	GCF_001612495.1
ASM522158v1	GCA_005221585.1	GCF_005221585.1
ASM892614v1	GCA_008926145.1	GCF_008926145.1
ASM892596v1	GCA_008925965.1	GCF_008925965.1
ASM1942870v1	GCA_019428705.1	GCF_019428705.1
ASM301737v1	GCA_003017375.1	GCF_003017375.1
ASM1482584v1	GCA_014825845.1	GCF_014825845.1
ASM167747v2	GCA_001677475.2	GCF_001677475.2
ASM2430070v1	GCA_024300705.1	GCF_024300705.1
ASM401057v1	GCA_004010575.1	GCF_004010575.1
ASM943221v1	GCA_009432215.1	GCF_009432215.1
ASM294671v1	GCA_002946715.1	GCF_002946715.1
ASM2580925v1	GCA_025809255.1	GCF_025809255.1
ASM301921v1	GCA_003019215.1	GCF_003019215.1
ASM2392120v1	GCA_023921205.1	GCF_023921205.1
ASM2539909v1	GCA_025399095.1	GCF_025399095.1
ASM2599561v1	GCA_025995615.1	GCF_025995615.1
ASM2539911v1	GCA_025399115.1	GCF_025399115.1
ASM301915v1	GCA_003019155.1	GCF_003019155.1
ASM2539913v1	GCA_025399135.1	GCF_025399135.1
ASM3757527v1	GCA_037575275.1	GCF_037575275.1
ASM222026v1	GCA_002220265.1	GCF_002220265.1
ASM966430v1	GCA_009664305.1	GCF_009664305.1
ASM2599655v1	GCA_025996555.1	GCF_025996555.1
ASM401065v1	GCA_004010655.1	GCF_004010655.1
ASM2599535v1	GCA_025995355.1	GCF_025995355.1
ASM401069v1	GCA_004010695.1	GCF_004010695.1
ASM189032v1	GCA_001890325.1	GCF_001890325.1
ASM189022v1	GCA_001890225.1	GCF_001890225.1
ASM2599519v1	GCA_025995195.1	GCF_025995195.1
ASM2599525v1	GCA_025995255.1	GCF_025995255.1
ASM396642v1	GCA_003966425.1	GCF_003966425.1
39038_C01	GCA_900635185.1	GCF_900635185.1
ASM215684v1	GCA_002156845.1	GCF_002156845.1
ASM180626v1	GCA_001806265.1	GCF_001806265.1
ASM180628v1	GCA_001806285.1	GCF_001806285.1
ASM522232v1	GCA_005222325.1	GCF_005222325.1
ASM3135708v1	GCA_031357085.1	GCF_031357085.1
ASM943291v1	GCA_009432915.1	GCF_009432915.1
ASM522236v1	GCA_005222365.1	GCF_005222365.1
ASM522178v1	GCA_005221785.1	GCF_005221785.1
ASM3073392v1	GCA_030733925.1	GCF_030733925.1
ASM3641961v1	GCA_036419615.1	GCF_036419615.1
ASM3167547v2	GCA_031675475.2	GCF_031675475.1
ASM3073416v1	GCA_030734165.1	GCF_030734165.1
ASM3093976v2	GCA_030939765.2	GCF_030939765.1
ASM522176v1	GCA_005221765.1	GCF_005221765.1
ASM522164v1	GCA_005221645.1	GCF_005221645.1
ASM522192v1	GCA_005221925.1	GCF_005221925.1
ASM522182v1	GCA_005221825.1	GCF_005221825.1
ASM522180v1	GCA_005221805.1	GCF_005221805.1
ASM522196v1	GCA_005221965.1	GCF_005221965.1
ASM522202v1	GCA_005222025.1	GCF_005222025.1
ASM522162v1	GCA_005221625.1	GCF_005221625.1
ASM522160v1	GCA_005221605.1	GCF_005221605.1
ASM522200v1	GCA_005222005.1	GCF_005222005.1
ASM522174v1	GCA_005221745.1	GCF_005221745.1
ASM522198v1	GCA_005221985.1	GCF_005221985.1
ASM522186v1	GCA_005221865.1	GCF_005221865.1
ASM522166v1	GCA_005221665.1	GCF_005221665.1
ASM522172v1	GCA_005221725.1	GCF_005221725.1
ASM522168v1	GCA_005221685.1	GCF_005221685.1
ASM522226v1	GCA_005222265.1	GCF_005222265.1
ASM522170v1	GCA_005221705.1	GCF_005221705.1
ASM522194v1	GCA_005221945.1	GCF_005221945.1
ASM522206v1	GCA_005222065.1	GCF_005222065.1
ASM522204v1	GCA_005222045.1	GCF_005222045.1
ASM522238v1	GCA_005222385.1	GCF_005222385.1
ASM401063v1	GCA_004010635.1	GCF_004010635.1
ASM1991552v1	GCA_019915525.1	GCF_019915525.1
ASM943313v1	GCA_009433135.1	GCF_009433135.1
ASM2430078v1	GCA_024300785.1	GCF_024300785.1
ASM205876v1	GCA_002058765.1	GCF_002058765.1
ASM3756341v1	GCA_037563415.1	GCF_037563415.1
ASM876153v3	GCA_008761535.3	GCF_008761535.2
ASM522244v1	GCA_005222445.1	GCF_005222445.1
ASM522230v1	GCA_005222305.1	GCF_005222305.1
ASM522242v1	GCA_005222425.1	GCF_005222425.1
ASM301877v1	GCA_003018775.1	GCF_003018775.1
ASM1640367v2	GCA_016403675.2	GCF_016403675.2
