ASM1375273v1	GCA_013752735.1	GCF_013752735.1
ASM28437v1	GCA_000284375.1	GCF_000284375.1
ASM188769v1	GCA_001887695.1	GCF_001887695.1
ASM3521323v1	GCA_035213235.1	GCF_035213235.1
ASM3522880v1	GCA_035228805.1	GCF_035228805.1
ASM3522958v1	GCA_035229585.1	GCF_035229585.1
ASM3058486v1	GCA_030584865.1	GCF_030584865.1
ASM3058490v1	GCA_030584905.1	GCF_030584905.1
ASM2327814v1	GCA_023278145.1	GCF_023278145.1
ASM3058474v1	GCA_030584745.1	GCF_030584745.1
ASM3058478v1	GCA_030584785.1	GCF_030584785.1
ASM3521051v1	GCA_035210515.1	GCF_035210515.1
ASM3521193v1	GCA_035211935.1	GCF_035211935.1
ASM3522770v1	GCA_035227705.1	GCF_035227705.1
ASM80731v1	GCA_000807315.1	GCF_000807315.1
ASM2327798v1	GCA_023277985.1	GCF_023277985.1
ASM3523758v1	GCA_035237585.1	GCF_035237585.1
ASM66193v1	GCA_000661935.1	GCF_000661935.1
ASM653964v1	GCA_006539645.1	GCF_006539645.1
ASM47298v1	GCA_000472985.1	GCF_000472985.1
ASM2596154v1	GCA_025961545.1	GCF_025961545.1
ASM2417130v1	GCA_024171305.1	GCF_024171305.1
ASM2417095v1	GCA_024170955.1	GCF_024170955.1
ASM2417082v1	GCA_024170825.1	GCF_024170825.1
ASM2417144v1	GCA_024171445.1	GCF_024171445.1
ASM2417114v1	GCA_024171145.1	GCF_024171145.1
ASM3509158v1	GCA_035091585.1	GCF_035091585.1
ASM2480728v1	GCA_024807285.1	GCF_024807285.1
ASM2480930v1	GCA_024809305.1	GCF_024809305.1
ASM2480848v1	GCA_024808485.1	GCF_024808485.1
ASM2480773v1	GCA_024807735.1	GCF_024807735.1
ASM2596109v1	GCA_025961095.1	GCF_025961095.1
ASM2417120v1	GCA_024171205.1	GCF_024171205.1
ASM2596163v1	GCA_025961635.1	GCF_025961635.1
ASM2480927v1	GCA_024809275.1	GCF_024809275.1
ASM2480945v1	GCA_024809455.1	GCF_024809455.1
ASM2417126v1	GCA_024171265.1	GCF_024171265.1
ASM2417102v1	GCA_024171025.1	GCF_024171025.1
ASM2480779v1	GCA_024807795.1	GCF_024807795.1
ASM2417092v1	GCA_024170925.1	GCF_024170925.1
ASM2417094v1	GCA_024170945.1	GCF_024170945.1
ASM2417080v1	GCA_024170805.1	GCF_024170805.1
ASM2480847v1	GCA_024808475.1	GCF_024808475.1
ASM2480869v1	GCA_024808695.1	GCF_024808695.1
ASM2480772v1	GCA_024807725.1	GCF_024807725.1
ASM2480987v1	GCA_024809875.1	GCF_024809875.1
ASM2480935v1	GCA_024809355.1	GCF_024809355.1
ASM2480873v1	GCA_024808735.1	GCF_024808735.1
ASM2417106v1	GCA_024171065.1	GCF_024171065.1
ASM2417090v1	GCA_024170905.1	GCF_024170905.1
ASM2480711v1	GCA_024807115.1	GCF_024807115.1
ASM1812999v1	GCA_018129995.1	GCF_018129995.1
ASM1813079v1	GCA_018130795.1	GCF_018130795.1
ASM2351105v1	GCA_023511055.1	GCF_023511055.1
ASM2351106v1	GCA_023511065.1	GCF_023511065.1
ASM2989258v1	GCA_029892585.1	GCF_029892585.1
ASM1813092v1	GCA_018130925.1	GCF_018130925.1
ASM1813036v1	GCA_018130365.1	GCF_018130365.1
ASM3762351v1	GCA_037623515.1	GCF_037623515.1
ASM986481v1	GCA_009864815.1	GCF_009864815.1
ASM3762347v1	GCA_037623475.1	GCF_037623475.1
ASM1812998v1	GCA_018129985.1	GCF_018129985.1
ASM77386v1	GCA_000773865.1	GCF_000773865.1
ASM1813073v1	GCA_018130735.1	GCF_018130735.1
ASM1813083v1	GCA_018130835.1	GCF_018130835.1
ASM1813024v1	GCA_018130245.1	GCF_018130245.1
ASM2121378v1	GCA_021213785.1	GCF_021213785.1
ASM2126130v1	GCA_021261305.1	GCF_021261305.1
ASM2126133v1	GCA_021261335.1	GCF_021261335.1
ASM103818v1	GCA_001038185.1	GCF_001038185.1
ASM2126135v1	GCA_021261355.1	GCF_021261355.1
ASM210893v1	GCA_002108935.1	GCF_002108935.1
ASM48252v1	GCA_000482525.1	GCF_000482525.1
ASM2122928v1	GCA_021229285.1	GCF_021229285.1
ASM47294v1	GCA_000472945.1	GCF_000472945.1
ASM2480845v1	GCA_024808455.1	GCF_024808455.1
ASM48242v1	GCA_000482425.1	GCF_000482425.1
ASM42684v1	GCA_000426845.1	GCF_000426845.1
ASM42130v1	GCA_000421305.1	GCF_000421305.1
ASM47274v1	GCA_000472745.1	GCF_000472745.1
25435	GCA_000261605.1	GCF_000261605.1
15618	GCA_000261585.1	GCF_000261585.1
15354	GCA_000261545.1	GCF_000261545.1
15517	GCA_000261565.1	GCF_000261565.1
